year_month,commodity,cpi_category,median_price_ghc,n_markets
2022-07,Beans/Cowpea,Food & Beverages,5.405,12
2022-07,Millet,Food & Beverages,7.33,11
2022-08,Yam,Food & Beverages,5.13,13
2022-08,Plantain,Food & Beverages,7.36,10
2022-08,Pepper,Food & Beverages,3.97,13
2022-08,Sorghum,Food & Beverages,5.78,9
2022-08,Tomatoes,Food & Beverages,4.85,12
2022-08,Rice,Food & Beverages,7.37,14
2022-08,Onions,Food & Beverages,3.97,9
2022-08,Fish (fresh),Food & Beverages,10.219999999999999,8
2022-08,Maize,Food & Beverages,4.51,12
2022-08,Eggs,Food & Beverages,3.6399999999999997,10
2022-08,Chicken,Food & Beverages,12.465,8
2022-08,Cassava,Food & Beverages,2.085,12
2022-08,Beans/Cowpea,Food & Beverages,7.9,11
2022-08,Millet,Food & Beverages,5.99,9
2022-09,Tomatoes,Food & Beverages,6.175,12
2022-09,Sorghum,Food & Beverages,5.52,9
2022-09,Rice,Food & Beverages,7.38,12
2022-09,Plantain,Food & Beverages,6.75,6
2022-09,Pepper,Food & Beverages,5.67,10
2022-09,Onions,Food & Beverages,3.31,9
2022-09,Yam,Food & Beverages,3.65,8
2022-09,Maize,Food & Beverages,3.5949999999999998,12
2022-09,Fish (fresh),Food & Beverages,9.12,8
2022-09,Eggs,Food & Beverages,3.855,6
2022-09,Chicken,Food & Beverages,15.32,9
2022-09,Cassava,Food & Beverages,1.55,9
2022-09,Beans/Cowpea,Food & Beverages,8.895,10
2022-09,Millet,Food & Beverages,7.69,13
2022-10,Yam,Food & Beverages,3.41,14
2022-10,Tomatoes,Food & Beverages,6.4,13
2022-10,Sorghum,Food & Beverages,6.1,9
2022-10,Rice,Food & Beverages,10.0,13
2022-10,Plantain,Food & Beverages,4.84,11
2022-10,Pepper,Food & Beverages,3.9749999999999996,10
2022-10,Onions,Food & Beverages,3.15,9
2022-10,Millet,Food & Beverages,8.425,12
2022-10,Fish (fresh),Food & Beverages,13.25,9
2022-10,Eggs,Food & Beverages,2.185,8
2022-10,Chicken,Food & Beverages,6.59,10
2022-10,Cassava,Food & Beverages,2.17,9
2022-10,Beans/Cowpea,Food & Beverages,3.9050000000000002,10
2022-10,Maize,Food & Beverages,3.9800000000000004,12
2022-11,Plantain,Food & Beverages,5.265000000000001,14
2022-11,Yam,Food & Beverages,4.725,14
2022-11,Tomatoes,Food & Beverages,7.0600000000000005,14
2022-11,Sorghum,Food & Beverages,7.555,8
2022-11,Rice,Food & Beverages,11.025,12
2022-11,Pepper,Food & Beverages,4.35,9
2022-11,Onions,Food & Beverages,3.9250000000000003,10
2022-11,Maize,Food & Beverages,5.37,16
2022-11,Fish (fresh),Food & Beverages,9.995,8
2022-11,Eggs,Food & Beverages,4.1,10
2022-11,Chicken,Food & Beverages,8.19,11
2022-11,Cassava,Food & Beverages,2.31,11
2022-11,Beans/Cowpea,Food & Beverages,9.12,11
2022-11,Millet,Food & Beverages,8.88,13
2022-12,Yam,Food & Beverages,4.115,12
2022-12,Tomatoes,Food & Beverages,7.23,11
2022-12,Rice,Food & Beverages,12.485,10
